DateTime,Name,Site,DateTime,Tz,{parameter},qual_code
1970-01-01 00:00:00.000000000,1.41,P,1970-01-01 00:00:00.000000000,P,1620.0,P
1970-01-01 00:00:00.000000000,1.1,P,1970-01-01 00:00:00.000000000,P,920.0,P
1970-01-01 00:00:00.000000000,1.59,P,1970-01-01 00:00:00.000000000,P,1580.0,P
1970-01-01 00:00:00.000000001,2.01,P,1970-01-01 00:00:00.000000001,P,3600.0,P
1970-01-01 00:00:00.000000000,1.82,P,1970-01-01 00:00:00.000000000,P,3160.0,P
1970-01-01 00:00:00.000000000,0.79,P,1970-01-01 00:00:00.000000000,P,1780.0,P
1970-01-01 00:00:00.000000000,1.35,P,1970-01-01 00:00:00.000000000,P,1330.0,P
1970-01-01 00:00:00.000000000,1.49,P,1970-01-01 00:00:00.000000000,P,1340.0,P
1970-01-01 00:00:00.000000000,1.19,P,1970-01-01 00:00:00.000000000,P,1520.0,P
1970-01-01 00:00:00.000000000,1.38,P,1970-01-01 00:00:00.000000000,P,1580.0,P
1970-01-01 00:00:00.000000000,0.88,P,1970-01-01 00:00:00.000000000,P,1500.0,P
1970-01-01 00:00:00.000000000,0.9,P,1970-01-01 00:00:00.000000000,P,,
,,,,,,
,,,,,,
1970-01-01 00:00:00.000000000,1.62,P,1970-01-01 00:00:00.000000000,P,1320.0,P
1970-01-01 00:00:00.000000000,1.4,P,1970-01-01 00:00:00.000000000,P,1220.0,P
1970-01-01 00:00:00.000000000,1.55,P,1970-01-01 00:00:00.000000000,P,1490.0,P
1970-01-01 00:00:00.000000000,1.78,P,1970-01-01 00:00:00.000000000,P,1720.0,P
1970-01-01 00:00:00.000000000,1.84,P,1970-01-01 00:00:00.000000000,P,1590.0,P
1970-01-01 00:00:00.000000000,1.08,P,1970-01-01 00:00:00.000000000,P,1540.0,P
1970-01-01 00:00:00.000000000,1.96,P,1970-01-01 00:00:00.000000000,P,2420.0,P
1970-01-01 00:00:00.000000001,2.03,P,1970-01-01 00:00:00.000000001,P,2850.0,P
1970-01-01 00:00:00.000000000,2.43,P,1970-01-01 00:00:00.000000000,P,2200.0,P
1970-01-01 00:00:00.000000000,1.31,P,1970-01-01 00:00:00.000000000,P,1490.0,P
1970-01-01 00:00:00.000000000,1.63,P,1970-01-01 00:00:00.000000000,P,1230.0,P
1970-01-01 00:00:00.000000001,1.88,P,1970-01-01 00:00:00.000000001,P,1410.0,P
1970-01-01 00:00:00.000000001,1.82,P,1970-01-01 00:00:00.000000001,P,1640.0,P
1970-01-01 00:00:00.000000000,1.58,P,1970-01-01 00:00:00.000000000,P,1640.0,P
1970-01-01 00:00:00.000000000,1.02,P,1970-01-01 00:00:00.000000000,P,1570.0,P
1970-01-01 00:00:00.000000000,1.33,P,1970-01-01 00:00:00.000000000,P,1490.0,P
1970-01-01 00:00:00.000000000,1.72,P,1970-01-01 00:00:00.000000000,P,1580.0,P
1970-01-01 00:00:00.000000000,1.74,P,1970-01-01 00:00:00.000000000,P,1530.0,P
1970-01-01 00:00:00.000000000,1.6,P,1970-01-01 00:00:00.000000000,P,1580.0,P
1970-01-01 00:00:00.000000000,1.27,P,1970-01-01 00:00:00.000000000,P,1520.0,P
1970-01-01 00:00:00.000000000,1.49,P,1970-01-01 00:00:00.000000000,P,1280.0,P
1970-01-01 00:00:00.000000000,1.5,P,1970-01-01 00:00:00.000000000,P,1400.0,P
1970-01-01 00:00:00.000000000,1.38,P,1970-01-01 00:00:00.000000000,P,1430.0,P
1970-01-01 00:00:00.000000000,1.64,P,1970-01-01 00:00:00.000000000,P,1280.0,P
1970-01-01 00:00:00.000000000,1.32,P,1970-01-01 00:00:00.000000000,P,1240.0,P
1970-01-01 00:00:00.000000000,1.56,P,1970-01-01 00:00:00.000000000,P,1210.0,P
1970-01-01 00:00:00.000000000,1.71,P,1970-01-01 00:00:00.000000000,P,1140.0,P
1970-01-01 00:00:00.000000000,0.85,P,1970-01-01 00:00:00.000000000,P,1190.0,P
1970-01-01 00:00:00.000000000,0.98,P,1970-01-01 00:00:00.000000000,P,1090.0,P
